"zip_code","pct_institution"
10004,14.5
10006,21.4
10007,11.6
10009,17.3
10011,12.6
10015,8.5
10016,12.6
10017,4
10020,13.7
10027,17.4
10029,14.6
10030,14.4
10031,7.7
10032,19.5
10033,7.4
10037,22.2
10040,27.2
10042,9.2
10046,11.8
10052,14.7
10054,12.9
10055,14.9
10056,6.5
10057,21.8
10059,10.2
10060,15.7
10068,20.6
10075,27.2
10076,15
10077,4.7
10084,10.5
10090,15.6
10094,21.5
10097,9.9
10098,22.2
10099,12.5
10111,20.5
10113,22.6
10118,15.4
10125,23.1
10126,10.5
10133,8.7
10136,9.4
10146,21
10152,14.3
10155,12.6
10156,12.7
10157,15.9
10162,9.9
10164,23.6
10165,14.2
10166,18
10168,16.7
10173,12.4
10174,8.8
10178,14.8
10179,5.2
10181,11.6
10183,16.8
10184,13.6
10187,16.8
10188,4.6
10189,6.8
10190,26
10195,13.1
10199,18.8
10204,16.8
10205,19.4
10206,3.8
10209,9.1
10210,13.6
10214,20.2
10224,11.4
10227,13
10232,18.6
10233,7.8
10236,12.7
10237,17.2
10241,7.3
10249,23.6
10250,20.8
10253,11.2
10256,29.1
10258,14.4
10259,10.2
10262,22.7
10267,18.5
10269,22.4
10275,14.4
10278,15.7
10279,19
10280,18
10287,20.3
10289,14.3
10293,19.9
10294,14.9
10302,10.3
10303,11.1
10304,16.7
10305,19.5
10316,21.5
10317,13.3
10320,21.1
10322,21.4
10323,18.9
10325,19.5
10331,11.6
10334,14.4
10336,12.7
10337,22.9
10338,27.5
10341,17.6
10351,18.9
10352,14.1
10353,15.9
10354,21.6
10359,18.4
10360,10.2
10368,13.5
10369,7.4
10377,14.8
10378,13.4
10379,13.9
10385,20.3
10387,18.1
10389,17.1
10390,9.8
10392,13
10395,13.5
10396,16.1
10398,8.4
10403,21.9
10406,25.7
10407,12.4
10408,18.1
10410,15.9
10412,16.2
10421,14.7
10423,20.3
10426,14.6
10429,20.7
10431,17.7
10437,19.2
10438,19
10443,9
10447,20.9
10450,14
10458,14.1
10460,16.3
10461,21.6
10465,13.5
10469,15.1
10473,19.9
10474,6.3
10480,24.7
10482,14.4
10485,8.4
10487,8
10492,12.7
10506,13
10514,25
10517,10.1
10523,13.7
10524,18.2
10525,17.4
10527,17.3
10528,14.1
10531,12.5
10532,19.5
10533,9.3
10534,10.9
10539,24.2
10540,10.8
10542,23.5
10543,15.7
10548,18.1
10549,18.7
10551,13.1
10552,14.2
10556,24.2
10557,15.8
10562,18.9
10563,11.4
10578,10.2
10581,13.2
10585,17.8
10590,16.1
10593,8.8
10598,16.1
10600,20
10601,14.6
10603,14.9
10607,22.6
10608,8.2
10609,24.1
10610,17.9
10614,12.1
10619,7
10621,19.6
10624,19.9
10626,16.5
10629,14.7
10631,17.9
10634,20.7
10636,16.9
10637,14.1
10638,7.4
10639,13.4
10643,15.2
10644,13.3
10648,22.7
10651,9.3
10662,16.5
10663,13.6
10669,13.7
10673,14.4
10685,16.6
10687,17.7
10691,26.1
10697,20.4
10698,10.7
10704,21.7
10705,22.7
10706,13.2
10709,21.4
10715,22
10717,8.9
10719,17.7
10723,4.4
10724,23.9
10725,15.1
10728,8.6
10733,15.4
10736,19.2
10741,12.9
10742,9.5
10746,12.9
10755,9.4
10760,13.4
10764,15.6
10765,18
10768,14.2
10771,27.9
10774,22.6
10779,12.2
10780,17.3
10783,4.5
10785,18.6
10786,11.5
10788,14.6
10790,22.1
10791,18.4
10801,17.6
10804,18.6
10805,13.5
10810,2.4
10820,19.8
10822,14
10827,17.8
10836,13
10838,12.5
10839,18.2
10840,21.2
10844,10.4
10850,19
10851,19.2
10854,24.1
10855,13.4
10857,20.4
10860,16.3
10882,12.4
10885,9.1
10886,12.7
10892,12.1
10893,19.6
10898,10.8
10904,26
10906,8.2
10910,13.3
10913,5.9
10915,14.1
10917,25.9
10918,28.5
10922,10.2
10924,20.3
10926,12.2
10932,15.3
10937,17.6
10940,17.5
10941,15.8
10944,20
10946,10.9
10947,17.4
10951,14.6
10952,14.7
10953,19.3
10954,16.5
10956,15.3
10962,19.2
10969,11.9
10970,12.3
10971,14.2
10973,11.1
10974,18
10975,7.8
10977,14.6
10984,13
10991,16.2
10994,20.2
10999,22.1
11001,15.8
11002,17.2
11003,16.5
11004,14.4
11008,15.5
11009,16.8
11011,26.5
11012,17.1
11013,24.9
11014,24.1
11015,16.9
11019,4
11022,8.2
11028,14.1
11029,15.5
11032,17.1
11037,17.8
11038,17
11041,12.9
11045,19.3
11052,14.8
11054,12.2
11060,13.6
11065,15.2
11067,2.4
11068,15.5
11078,13.4
11081,9.7
11082,14
11087,12.2
11091,21.6
11092,17.8
11093,14.9
11098,16.1
11106,9.3
11107,15.6
11109,12.3
11111,13.4
11118,13.9
11123,18.2
11126,9.8
11127,7.6
11128,13.6
11135,8.4
11142,8.8
11144,17.2
11147,11.3
11148,12.5
11150,20.9
11151,14.8
11154,9.2
11156,14.4
11157,15.2
11163,22
11164,18.3
11165,10.2
11168,23.4
11169,3.7
11174,16.1
11179,13.6
11181,11.2
11185,16.9
11186,6.4
11188,10.8
11189,18.8
11190,14.7
11192,16
11193,25.2
11195,11.7
11199,13.9
11201,13
11202,18.2
11203,20.9
11216,12.2
11219,18.6
11220,11.5
11221,12.6
11226,16.6
11233,13.1
11237,14.9
11244,18
11245,15.3
11246,9.2
11253,19.1
11257,16
11259,11.2
11261,22.4
11265,12.6
11273,17.8
11274,14.4
11275,18.5
11278,13.7
11279,10.5
11283,16.4
11284,14.7
11295,19.1
11297,13.5
11307,19.3
11310,15.3
11312,13.4
11313,6.6
11316,18.1
11317,6.6
11319,23.9
11320,25.6
11326,15.5
11331,11.1
11333,8.7
11336,19
