"combination","n_profile","n_profile_twice","n_profile_more_than_twice","n_repeated_in_consecutive","n_matching_rows","n_nonmatching_rows","P_A","P_B","R_A","R_B","M_A","M_B","T_A","T_B"
"same_position/same_position/same_position/different_position/different_position","8","2","0","0","3","2","1.25","1.25","1.25","1.25","1.25","1.25","1.26","1.25"
"same_position/same_position/different_position/same_position/different_position","8","2","0","0","3","2","1.25","1.25","1.25","1.25","1.24","1.24","1.25","1.25"
"same_position/same_position/different_position/different_position/same_position","8","2","0","0","3","2","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25"
"same_position/same_position/different_position/different_position/different_position","8","2","0","0","2","3","1.25","1.24","1.25","1.26","1.25","1.25","1.25","1.25"
"same_position/different_position/same_position/same_position/different_position","8","2","0","0","3","2","1.25","1.24","1.25","1.25","1.25","1.26","1.25","1.26"
"same_position/different_position/same_position/different_position/same_position","8","2","0","0","3","2","1.24","1.25","1.25","1.25","1.25","1.25","1.25","1.25"
"same_position/different_position/same_position/different_position/different_position","8","2","0","0","2","3","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25"
"same_position/different_position/different_position/same_position/same_position","8","2","0","0","3","2","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25"
"same_position/different_position/different_position/same_position/different_position","8","2","0","0","2","3","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25"
"same_position/different_position/different_position/different_position/same_position","8","2","0","0","2","3","1.25","1.24","1.25","1.25","1.25","1.25","1.25","1.26"
"different_position/same_position/same_position/same_position/different_position","8","2","0","0","3","2","1.25","1.26","1.25","1.25","1.26","1.25","1.25","1.24"
"different_position/same_position/same_position/different_position/same_position","8","2","0","0","3","2","1.25","1.25","1.26","1.24","1.25","1.24","1.25","1.25"
"different_position/same_position/same_position/different_position/different_position","8","2","0","0","2","3","1.25","1.26","1.24","1.25","1.25","1.25","1.25","1.25"
"different_position/same_position/different_position/same_position/same_position","8","2","0","0","3","2","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25"
"different_position/same_position/different_position/same_position/different_position","8","2","0","0","2","3","1.25","1.25","1.26","1.24","1.25","1.25","1.25","1.25"
"different_position/same_position/different_position/different_position/same_position","8","2","0","0","2","3","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25"
"different_position/different_position/same_position/same_position/same_position","8","2","0","0","3","2","1.25","1.25","1.26","1.26","1.25","1.24","1.25","1.25"
"different_position/different_position/same_position/same_position/different_position","8","2","0","0","2","3","1.26","1.26","1.24","1.24","1.25","1.25","1.26","1.25"
"different_position/different_position/same_position/different_position/same_position","8","2","0","0","2","3","1.25","1.25","1.25","1.25","1.25","1.24","1.24","1.26"
"different_position/different_position/different_position/same_position/same_position","8","2","0","0","2","3","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25"
